#center_z avg_z center_magnorm_agn avg_magnorm_agn number
1.55 1.549 26.5 26.528 488
1.55 1.549 27.5 27.548 884
1.55 1.548 28.5 28.550 1468
1.55 1.552 29.5 29.480 2375
1.65 1.663 17.5 17.794 1
1.65 1.650 19.5 19.664 11
1.65 1.649 20.5 20.603 27
1.65 1.650 21.5 21.535 64
1.65 1.646 22.5 22.517 86
1.65 1.648 23.5 23.515 133
1.65 1.657 24.5 24.509 157
1.65 1.645 25.5 25.547 242
1.65 1.646 26.5 26.562 451
1.65 1.652 27.5 27.547 743
1.65 1.649 28.5 28.532 1321
1.65 1.650 29.5 29.547 2391
1.65 1.674 30.5 30.035 134
1.75 1.709 17.5 17.909 1
1.75 1.789 18.5 18.448 1
1.75 1.745 19.5 19.591 11
1.75 1.752 20.5 20.568 29
1.75 1.750 21.5 21.554 49
1.75 1.740 22.5 22.505 71
1.75 1.750 23.5 23.572 134
1.75 1.750 24.5 24.534 167
1.75 1.747 25.5 25.543 251
1.75 1.749 26.5 26.539 385
1.75 1.750 27.5 27.536 629
1.75 1.747 28.5 28.557 1093
1.75 1.749 29.5 29.544 2116
1.75 1.756 30.5 30.095 608
1.85 1.861 18.5 18.641 5
1.85 1.845 19.5 19.654 7
1.85 1.848 20.5 20.629 25
1.85 1.849 21.5 21.566 47
1.85 1.848 22.5 22.537 62
1.85 1.849 23.5 23.522 94
1.85 1.848 24.5 24.543 141
1.85 1.845 25.5 25.539 233
1.85 1.846 26.5 26.556 359
1.85 1.847 27.5 27.554 584
1.85 1.848 28.5 28.556 1000
1.85 1.849 29.5 29.557 1814
1.85 1.854 30.5 30.182 1013
1.95 1.961 18.5 18.715 4
1.95 1.935 19.5 19.564 6
1.95 1.944 20.5 20.552 23
1.95 1.952 21.5 21.504 40
1.95 1.947 22.5 22.479 64
1.95 1.942 23.5 23.519 92
1.95 1.952 24.5 24.530 139
1.95 1.947 25.5 25.542 194
1.95 1.948 26.5 26.504 310
1.95 1.947 27.5 27.555 523
1.95 1.947 28.5 28.552 905
1.95 1.948 29.5 29.551 1710
1.95 1.953 30.5 30.248 1201
2.05 2.023 19.5 19.644 5
2.05 2.046 20.5 20.611 19
2.05 2.054 21.5 21.557 35
2.05 2.049 22.5 22.522 68
2.05 2.051 23.5 23.494 104
2.05 2.054 24.5 24.478 107
2.05 2.044 25.5 25.576 171
2.05 2.046 26.5 26.542 252
2.05 2.047 27.5 27.555 438
2.05 2.049 28.5 28.554 837
2.05 2.047 29.5 29.552 1440
2.05 2.051 30.5 30.335 1455
2.15 2.157 18.5 18.536 3
2.15 2.129 19.5 19.454 3
2.15 2.148 20.5 20.547 17
2.15 2.156 21.5 21.623 35
2.15 2.152 22.5 22.510 63
2.15 2.160 23.5 23.476 86
2.15 2.149 24.5 24.484 119
2.15 2.150 25.5 25.539 148
2.15 2.148 26.5 26.519 264
2.15 2.150 27.5 27.532 426
2.15 2.149 28.5 28.561 665
2.15 2.149 29.5 29.542 1302
2.15 2.151 30.5 30.400 1612
2.25 2.216 18.5 18.444 1
2.25 2.239 19.5 19.496 3
2.25 2.250 20.5 20.500 17
2.25 2.247 21.5 21.492 30
2.25 2.251 22.5 22.554 43
2.25 2.252 23.5 23.559 66
2.25 2.245 24.5 24.570 73
2.25 2.245 25.5 25.492 143
2.25 2.253 26.5 26.515 199
2.25 2.244 27.5 27.555 336
2.25 2.248 28.5 28.543 659
2.25 2.248 29.5 29.568 1067
2.25 2.252 30.5 30.466 1693
