#center_z avg_z center_magnorm_agn avg_magnorm_agn number
6.25 6.250 29.5 29.561 21
6.25 6.252 30.5 30.592 53
6.25 6.253 31.5 31.590 58
6.25 6.248 32.5 32.569 127
6.25 6.249 33.5 33.280 96
6.35 6.351 24.5 24.477 7
6.35 6.346 25.5 25.392 5
6.35 6.359 26.5 26.307 5
6.35 6.350 27.5 27.387 9
6.35 6.347 28.5 28.619 15
6.35 6.357 29.5 29.530 18
6.35 6.347 30.5 30.587 31
6.35 6.353 31.5 31.554 58
6.35 6.352 32.5 32.541 117
6.35 6.353 33.5 33.272 102
6.45 6.447 22.5 22.248 1
6.45 6.446 24.5 24.814 2
6.45 6.457 25.5 25.734 4
6.45 6.469 26.5 26.750 7
6.45 6.446 27.5 27.607 16
6.45 6.444 28.5 28.474 12
6.45 6.446 29.5 29.440 23
6.45 6.454 30.5 30.537 34
6.45 6.451 31.5 31.523 65
6.45 6.445 32.5 32.578 104
6.45 6.445 33.5 33.284 109
6.55 6.551 23.5 23.950 1
6.55 6.551 24.5 24.388 3
6.55 6.527 25.5 25.342 5
6.55 6.545 26.5 26.628 3
6.55 6.543 27.5 27.689 4
6.55 6.561 28.5 28.521 12
6.55 6.551 29.5 29.468 17
6.55 6.545 30.5 30.582 33
6.55 6.553 31.5 31.546 61
6.55 6.548 32.5 32.544 110
6.55 6.550 33.5 33.344 107
6.65 6.640 23.5 23.430 2
6.65 6.647 24.5 24.951 1
6.65 6.658 25.5 25.644 3
6.65 6.665 26.5 26.685 4
6.65 6.660 27.5 27.509 9
6.65 6.634 28.5 28.476 9
6.65 6.644 29.5 29.510 15
6.65 6.647 30.5 30.536 29
6.65 6.646 31.5 31.630 37
6.65 6.648 32.5 32.559 84
6.65 6.645 33.5 33.334 87
6.75 6.749 23.5 23.780 1
6.75 6.738 24.5 24.551 1
6.75 6.743 25.5 25.572 2
6.75 6.771 26.5 26.547 5
6.75 6.744 27.5 27.571 5
6.75 6.753 28.5 28.468 12
6.75 6.738 29.5 29.565 18
6.75 6.754 30.5 30.534 36
6.75 6.750 31.5 31.536 35
6.75 6.747 32.5 32.560 76
6.75 6.748 33.5 33.386 96
6.85 6.873 21.5 21.269 1
6.85 6.875 23.5 23.601 2
6.85 6.852 24.5 24.499 3
6.85 6.845 25.5 25.444 3
6.85 6.845 26.5 26.425 8
6.85 6.833 27.5 27.623 8
6.85 6.841 28.5 28.298 11
6.85 6.850 29.5 29.584 19
6.85 6.855 30.5 30.531 24
6.85 6.849 31.5 31.508 42
6.85 6.846 32.5 32.597 91
6.85 6.846 33.5 33.407 101
6.95 6.972 23.5 23.741 1
6.95 6.975 24.5 24.061 1
6.95 6.931 25.5 25.585 5
6.95 6.930 26.5 26.503 5
6.95 6.957 27.5 27.579 4
6.95 6.940 28.5 28.512 9
6.95 6.947 29.5 29.699 10
6.95 6.946 30.5 30.573 18
6.95 6.958 31.5 31.572 33
6.95 6.941 32.5 32.553 67
6.95 6.951 33.5 33.407 84
7.05 7.004 23.5 23.072 1
7.05 7.058 25.5 25.568 8
7.05 7.047 26.5 26.467 3
7.05 7.027 27.5 27.657 5
7.05 7.051 28.5 28.727 7
7.05 7.037 29.5 29.485 11
7.05 7.044 30.5 30.558 22
7.05 7.053 31.5 31.608 29
7.05 7.053 32.5 32.569 67
7.05 7.053 33.5 33.425 81
7.15 7.138 24.5 24.908 2
7.15 7.106 25.5 25.676 2
7.15 7.117 26.5 26.384 3
7.15 7.154 27.5 27.231 10
7.15 7.145 28.5 28.407 5
7.15 7.161 29.5 29.629 12
7.15 7.156 30.5 30.634 23
7.15 7.157 31.5 31.629 33
7.15 7.152 32.5 32.512 57
7.15 7.148 33.5 33.431 73
7.25 7.265 25.5 25.231 4
7.25 7.267 26.5 26.601 4
7.25 7.255 27.5 27.357 3
7.25 7.243 28.5 28.618 8
7.25 7.254 29.5 29.573 9
7.25 7.237 30.5 30.590 17
7.25 7.250 31.5 31.586 20
7.25 7.248 32.5 32.612 52
7.25 7.246 33.5 33.467 89
7.35 7.329 23.5 23.515 2
7.35 7.358 24.5 24.217 2
7.35 7.370 25.5 25.499 4
7.35 7.370 26.5 26.341 4
7.35 7.339 27.5 27.623 6
7.35 7.335 28.5 28.371 5
7.35 7.353 29.5 29.437 10
7.35 7.365 30.5 30.695 16
7.35 7.346 31.5 31.583 29
7.35 7.356 32.5 32.593 44
7.35 7.350 33.5 33.484 81
7.45 7.439 24.5 24.594 3
7.45 7.469 25.5 25.747 2
7.45 7.449 26.5 26.368 6
7.45 7.487 27.5 27.703 1
7.45 7.445 28.5 28.552 6
7.45 7.461 29.5 29.839 4
7.45 7.453 30.5 30.509 18
7.45 7.434 31.5 31.563 17
7.45 7.446 32.5 32.591 40
7.45 7.448 33.5 33.499 71
7.55 7.598 22.5 22.579 1
7.55 7.589 23.5 23.112 1
7.55 7.546 24.5 24.693 1
7.55 7.518 25.5 25.677 1
7.55 7.554 26.5 26.121 1
7.55 7.549 27.5 27.553 7
7.55 7.551 28.5 28.563 9
7.55 7.528 29.5 29.676 6
7.55 7.537 30.5 30.569 11
7.55 7.550 31.5 31.587 24
7.55 7.547 32.5 32.587 45
7.55 7.549 33.5 33.547 61
7.65 7.645 26.5 26.903 2
7.65 7.628 27.5 27.502 4
7.65 7.635 28.5 28.726 1
7.65 7.662 29.5 29.498 6
7.65 7.647 30.5 30.492 14
7.65 7.648 31.5 31.609 24
7.65 7.656 32.5 32.568 37
7.65 7.647 33.5 33.623 51
7.75 7.739 24.5 24.248 1
7.75 7.756 25.5 25.167 1
7.75 7.747 26.5 26.605 3
7.75 7.714 27.5 27.529 2
7.75 7.747 28.5 28.422 10
7.75 7.744 29.5 29.416 6
7.75 7.754 30.5 30.580 10
7.75 7.744 31.5 31.525 28
7.75 7.759 32.5 32.496 29
7.75 7.747 33.5 33.574 69
7.75 7.770 34.5 34.021 4
7.85 7.853 24.5 24.534 2
7.85 7.856 25.5 25.651 1
7.85 7.825 26.5 26.460 3
7.85 7.833 27.5 27.781 2
7.85 7.849 28.5 28.455 5
7.85 7.826 29.5 29.289 5
7.85 7.854 30.5 30.635 11
7.85 7.853 31.5 31.575 19
7.85 7.855 32.5 32.591 32
7.85 7.847 33.5 33.600 62
7.85 7.858 34.5 34.045 4
7.95 7.947 24.5 24.039 1
7.95 7.932 25.5 25.510 2
7.95 7.956 26.5 26.265 3
7.95 7.950 27.5 27.157 2
7.95 7.936 28.5 28.598 6
7.95 7.966 29.5 29.518 4
7.95 7.948 30.5 30.434 9
7.95 7.936 31.5 31.619 16
7.95 7.950 32.5 32.509 27
7.95 7.947 33.5 33.534 80
7.95 7.953 34.5 34.073 5
8.05 8.003 30.5 30.765 1
8.05 8.005 32.5 32.612 1
